E, M, Mabs, Cv, X, Temp
-1.74585,0.911481,0.911481,7.77109e-05,4.18553e-05,2
-1.74231,0.910048,0.910048,7.2263e-05,3.81137e-05,2.005
-1.73833,0.908108,0.908108,7.24888e-05,3.81201e-05,2.01
-1.73494,0.906567,0.906567,7.67541e-05,4.31247e-05,2.015
-1.73018,0.904045,0.904045,7.50201e-05,4.42572e-05,2.02
-1.72685,0.902545,0.902545,7.60069e-05,4.64369e-05,2.025
-1.72255,0.900848,0.900848,8.26774e-05,5.21194e-05,2.03
-1.71907,0.898913,0.898913,8.28046e-05,5.06584e-05,2.035
-1.71477,0.896883,0.896883,8.34439e-05,5.40922e-05,2.04
-1.71111,0.895038,0.895038,8.04703e-05,5.1931e-05,2.045
-1.70652,0.892246,0.892246,8.5564e-05,6.77351e-05,2.05
-1.7026,0.890726,0.890726,8.18773e-05,5.75867e-05,2.055
-1.69837,0.888386,0.888386,8.18415e-05,6.39098e-05,2.06
-1.69423,0.886993,0.886993,9.15427e-05,6.66729e-05,2.065
-1.68942,0.883638,0.883638,9.3959e-05,8.37135e-05,2.07
-1.68461,0.87951,0.87951,9.7267e-05,0.000144918,2.075
-1.68144,0.880059,0.880059,9.05342e-05,7.12652e-05,2.08
-1.67638,0.876821,0.876821,9.37568e-05,7.97298e-05,2.085
-1.6716,0.874271,0.874271,9.25628e-05,7.90209e-05,2.09
-1.66586,0.869146,0.869146,9.39777e-05,0.000132306,2.095
-1.66267,0.869872,0.869872,0.000104227,9.12526e-05,2.1
-1.65654,0.864716,0.864716,0.00010154,0.000113467,2.105
-1.65255,0.863079,0.863079,0.000104082,0.000109702,2.11
-1.64799,0.860964,0.860964,0.000102677,0.000108513,2.115
-1.64429,0.859411,0.859411,9.79185e-05,9.75435e-05,2.12
-1.63669,0.853345,0.853345,0.000108438,0.00013512,2.125
-1.63218,0.851084,0.851084,0.000103619,0.000125848,2.13
-1.62602,0.847279,0.847279,0.000112921,0.000130287,2.135
-1.62081,0.843429,0.843429,0.000112272,0.000141548,2.14
-1.61639,0.842085,0.842085,0.000108768,0.000114927,2.145
-1.60869,0.83417,0.83417,0.000127258,0.000224912,2.15
-1.60591,0.833118,0.833118,0.000115718,0.000184155,2.155
-1.59856,0.828566,0.828566,0.000121056,0.000182318,2.16
-1.59179,0.822312,0.822312,0.000120373,0.000240239,2.165
-1.58442,0.815592,0.815592,0.000129742,0.000314798,2.17
-1.58027,0.814477,0.814477,0.000123315,0.000232921,2.175
-1.57215,0.807139,0.807139,0.00013193,0.000288896,2.18
-1.56861,0.805976,0.805976,0.000134195,0.000270292,2.185
-1.56269,0.802319,0.802319,0.000136634,0.000269543,2.19
-1.55687,0.797569,0.797569,0.000141193,0.000323165,2.195
-1.54424,0.781505,0.781505,0.000139513,0.000394887,2.2
-1.53663,0.770264,0.770264,0.00014531,0.000693106,2.205
-1.5351,0.77982,0.77982,0.000142417,0.00033345,2.21
-1.51817,0.734973,0.734973,0.000201101,0.00348585,2.215
-1.51738,0.754026,0.754026,0.000174862,0.000998315,2.22
-1.51237,0.751638,0.751638,0.00015737,0.00064067,2.225
-1.50235,0.740518,0.740518,0.000162297,0.000759159,2.23
-1.49123,0.722327,0.722327,0.000206284,0.00116095,2.235
-1.48101,0.711688,0.711688,0.000203363,0.00134963,2.24
-1.46639,0.67505,0.67505,0.000201212,0.00218121,2.245
-1.46876,0.699435,0.699435,0.000192421,0.000951708,2.25
-1.43346,0.538616,0.538616,0.000228324,0.007843,2.255
-1.43768,0.613246,0.613246,0.00024824,0.00407367,2.26
-1.43679,0.625065,0.625065,0.000229364,0.00396109,2.265
-1.42602,0.606107,0.606107,0.000240982,0.00408288,2.27
-1.41134,0.576296,0.576296,0.000230506,0.0044491,2.275
-1.40717,0.587033,0.587033,0.000257274,0.00671033,2.28
-1.39188,0.54226,0.54226,0.000211398,0.00322141,2.285
-1.38588,0.559403,0.559403,0.000219698,0.00402623,2.29
-1.37216,0.498706,0.498706,0.000228814,0.00499718,2.295
-1.34923,0.25013,0.344758,0.000213549,0.0106046,2.3
-1.34679,0.372608,0.37756,0.000235436,0.0150018,2.305
-1.3436,0.427871,0.427871,0.000205985,0.00592163,2.31
-1.33289,0.376558,0.376654,0.000225237,0.0106649,2.315
-1.31917,0.332959,0.332959,0.000237475,0.0109584,2.32
-1.30599,0.212725,0.224139,0.000209237,0.00854909,2.325
-1.29271,0.0267888,0.161729,0.000199102,0.00667102,2.33
-1.28844,-0.0545858,0.183492,0.000196779,0.00637345,2.335
-1.28655,0.259372,0.262314,0.000189649,0.00556718,2.34
-1.27554,-0.091268,0.20504,0.000192813,0.00690789,2.345
-1.26907,-0.115943,0.200255,0.00016749,0.00699179,2.35
-1.26154,0.107808,0.197309,0.000186734,0.00588629,2.355
-1.25104,0.0320123,0.120381,0.000164677,0.00447479,2.36
-1.25067,0.0619903,0.173639,0.000161011,0.00751101,2.365
-1.23985,0.0480076,0.121332,0.00017161,0.00450726,2.37
-1.23497,0.0570395,0.137816,0.00016424,0.00452984,2.375
-1.22775,-0.0189375,0.141176,0.000164069,0.00467621,2.38
-1.22442,0.112223,0.143411,0.000149855,0.00535834,2.385
-1.21916,0.0571476,0.12712,0.000181581,0.00501868,2.39
-1.21251,0.0250097,0.149991,0.000174971,0.00547333,2.395
-1.20546,-0.0250915,0.124187,0.000150798,0.00365197,2.4
-1.20105,-0.0125431,0.117392,0.000152909,0.0039324,2.405
-1.19393,0.0526547,0.114275,0.000144408,0.00338767,2.41
-1.192,-0.00944232,0.105887,0.000147934,0.0032722,2.415
-1.18584,0.0326309,0.119667,0.000144915,0.00422487,2.42
-1.17741,0.0085858,0.0965984,0.000136435,0.00288398,2.425
-1.17229,-0.0063741,0.099403,0.000138193,0.00323632,2.43
-1.16652,0.00109886,0.0921911,0.000132358,0.00236222,2.435
-1.16243,0.0193523,0.085687,0.000141599,0.00284676,2.44
-1.15778,0.0186257,0.0805985,0.00013267,0.00254612,2.445
-1.15468,0.0349865,0.104351,0.000143,0.00296545,2.45
-1.14854,-0.0125741,0.0849603,0.000129461,0.00299875,2.455
-1.1409,-0.00323868,0.0747144,0.000137796,0.00192254,2.46
-1.13986,0.022785,0.082272,0.000134907,0.00262206,2.465
-1.13289,0.0289914,0.0803081,0.000134074,0.00223226,2.47
-1.12936,0.0290936,0.0772354,0.000132701,0.00194376,2.475
-1.12522,0.0017876,0.0699286,0.000122368,0.00170554,2.48
-1.12152,0.0194108,0.0745456,0.000127486,0.00173472,2.485
-1.11657,0.0272581,0.0726704,0.000121459,0.00183488,2.49
-1.11066,-0.00090112,0.0708123,0.000121273,0.00166462,2.495
-1.10582,0.026082,0.0699597,0.000114807,0.00153559,2.5
