E, M, Mabs, Cv, X, Temp
-1.74377,0.909136,0.909136,0.000489025,0.000381873,2
-1.74071,0.909085,0.909085,0.000477173,0.000276957,2.005
-1.73793,0.908008,0.908008,0.000466174,0.000262324,2.01
-1.73394,0.906138,0.906138,0.00048177,0.000270764,2.015
-1.72785,0.902569,0.902569,0.000500817,0.000301372,2.02
-1.72521,0.9016,0.9016,0.000483154,0.000298677,2.025
-1.72424,0.901509,0.901509,0.000502526,0.000321523,2.03
-1.71966,0.899514,0.899514,0.000497593,0.000290579,2.035
-1.7152,0.897629,0.897629,0.000481262,0.000275631,2.04
-1.71252,0.895009,0.895009,0.000509202,0.000361506,2.045
-1.70895,0.89516,0.89516,0.000481313,0.000288017,2.05
-1.69941,0.888183,0.888183,0.000524331,0.000395512,2.055
-1.69763,0.888452,0.888452,0.000528026,0.000368641,2.06
-1.6932,0.885921,0.885921,0.000507682,0.000384372,2.065
-1.69022,0.884936,0.884936,0.000512295,0.000385219,2.07
-1.68276,0.877509,0.877509,0.000584512,0.000775536,2.075
-1.68185,0.880483,0.880483,0.000549344,0.000397986,2.08
-1.67628,0.877528,0.877528,0.000532338,0.000422802,2.085
-1.6746,0.877167,0.877167,0.000554402,0.000428001,2.09
-1.66882,0.873684,0.873684,0.000554148,0.000451272,2.095
-1.66589,0.87171,0.87171,0.000575667,0.000494501,2.1
-1.65553,0.865864,0.865864,0.000600932,0.000553903,2.105
-1.65055,0.860092,0.860092,0.00063398,0.000855905,2.11
-1.64991,0.863104,0.863104,0.000609554,0.000564301,2.115
-1.64216,0.855688,0.855688,0.000654172,0.00087345,2.12
-1.63163,0.845897,0.845897,0.000695406,0.00115785,2.125
-1.63139,0.852228,0.852228,0.000621823,0.000666311,2.13
-1.62763,0.848949,0.848949,0.000644925,0.000721987,2.135
-1.6192,0.837307,0.837307,0.000781948,0.0015334,2.14
-1.61506,0.839564,0.839564,0.000693853,0.00107399,2.145
-1.61144,0.838973,0.838973,0.000672366,0.000922389,2.15
-1.60826,0.83764,0.83764,0.000696494,0.000826445,2.155
-1.59881,0.827367,0.827367,0.00075638,0.00140009,2.16
-1.59733,0.83213,0.83213,0.000702344,0.000872445,2.165
-1.58122,0.808246,0.808246,0.000819573,0.0026697,2.17
-1.57497,0.807682,0.807682,0.000870044,0.00214817,2.175
-1.58145,0.821057,0.821057,0.000718812,0.000986398,2.18
-1.56377,0.798963,0.798963,0.000864146,0.00237264,2.185
-1.55406,0.789471,0.789471,0.000880293,0.00240136,2.19
-1.55095,0.778297,0.778297,0.000972773,0.00396957,2.195
-1.54824,0.787103,0.787103,0.000889848,0.00284715,2.2
-1.53867,0.781286,0.781286,0.000899117,0.00207777,2.205
-1.53213,0.775351,0.775351,0.000889987,0.00216318,2.21
-1.53155,0.780522,0.780522,0.000870197,0.0019221,2.215
-1.50575,0.473368,0.712773,0.00120127,0.0125564,2.22
-1.50349,0.725884,0.725884,0.00121048,0.00992267,2.225
-1.50397,0.748549,0.748549,0.00100037,0.00379652,2.23
-1.49174,0.725345,0.725345,0.00100391,0.00502125,2.235
-1.49008,0.735954,0.735954,0.0010196,0.0037288,2.24
-1.46646,0.689312,0.689312,0.00119076,0.00744867,2.245
