E, M, Mabs, Cv, X, Temp
-1.74502,0.911172,0.911172,0.000115342,5.88201e-05,2
-1.74015,0.908365,0.908365,0.00011994,7.2466e-05,2.005
-1.73863,0.907892,0.907892,0.000115814,6.99677e-05,2.01
-1.7331,0.905488,0.905488,0.000117677,6.58575e-05,2.015
-1.73073,0.904477,0.904477,0.00012289,7.16516e-05,2.02
-1.72614,0.901769,0.901769,0.00012512,8.92615e-05,2.025
-1.7234,0.901185,0.901185,0.000121834,7.39944e-05,2.03
-1.71965,0.899917,0.899917,0.000124025,7.02843e-05,2.035
-1.71568,0.897755,0.897755,0.000122504,7.52953e-05,2.04
-1.7107,0.895,0.895,0.000128617,8.48674e-05,2.045
-1.70608,0.891802,0.891802,0.000127168,0.000105439,2.05
-1.70181,0.890037,0.890037,0.00013692,9.83834e-05,2.055
-1.69656,0.887503,0.887503,0.000132864,9.43919e-05,2.06
-1.69374,0.885714,0.885714,0.000134284,9.97693e-05,2.065
-1.68905,0.884188,0.884188,0.000139333,9.73547e-05,2.07
-1.68464,0.880981,0.880981,0.000138354,0.000107631,2.075
-1.67928,0.876793,0.876793,0.000147349,0.000158882,2.08
-1.67709,0.877553,0.877553,0.000142588,0.000123638,2.085
-1.67185,0.875354,0.875354,0.000151595,0.000121449,2.09
-1.66834,0.873222,0.873222,0.000140367,0.000123712,2.095
-1.66234,0.869799,0.869799,0.000145998,0.000128694,2.1
-1.65735,0.866621,0.866621,0.000152052,0.000155296,2.105
-1.64986,0.860343,0.860343,0.000158658,0.00017995,2.11
-1.64493,0.858712,0.858712,0.000158912,0.000166071,2.115
-1.64248,0.857471,0.857471,0.000165158,0.000170004,2.12
-1.63607,0.852766,0.852766,0.000168334,0.000202217,2.125
-1.63109,0.84776,0.84776,0.000166102,0.000256764,2.13
-1.62473,0.844719,0.844719,0.000170616,0.000251846,2.135
-1.62161,0.84348,0.84348,0.000165295,0.000227102,2.14
-1.61513,0.839853,0.839853,0.000178483,0.000233385,2.145
-1.6083,0.832642,0.832642,0.000201214,0.000416239,2.15
-1.60302,0.830555,0.830555,0.00018969,0.000314438,2.155
-1.59859,0.828588,0.828588,0.000180017,0.000279237,2.16
-1.59274,0.825875,0.825875,0.000177032,0.000251931,2.165
-1.58648,0.820569,0.820569,0.000191668,0.000307867,2.17
-1.57966,0.814928,0.814928,0.000186077,0.000330495,2.175
-1.57204,0.807123,0.807123,0.00021357,0.000452543,2.18
-1.56704,0.804424,0.804424,0.000196906,0.000370132,2.185
-1.55811,0.790264,0.790264,0.000214942,0.000775985,2.19
-1.55513,0.793817,0.793817,0.000214521,0.000484076,2.195
-1.54785,0.787988,0.787988,0.000215463,0.00057025,2.2
-1.53952,0.777826,0.777826,0.000223199,0.000688467,2.205
-1.53171,0.774083,0.774083,0.000220376,0.000573026,2.21
-1.52181,0.752479,0.752479,0.00025875,0.00141017,2.215
-1.51706,0.756761,0.756761,0.000262248,0.00119732,2.22
-1.50545,0.732337,0.732337,0.00028384,0.00251935,2.225
-1.49545,0.716575,0.716575,0.00028764,0.00259146,2.23
-1.48426,0.697458,0.697458,0.000260242,0.00232512,2.235
-1.4734,0.666329,0.666329,0.000315033,0.00458917,2.24
-1.46855,0.686518,0.686518,0.000304738,0.002412,2.245
-1.46621,0.691638,0.691638,0.000316118,0.00298548,2.25
-1.46064,0.691161,0.691161,0.000282889,0.00206298,2.255
-1.45146,0.6772,0.6772,0.000270342,0.00192681,2.26
-1.43599,0.649904,0.649904,0.000281567,0.00246911,2.265
-1.39403,0.267546,0.388645,0.000392737,0.0203902,2.27
-1.43162,0.655526,0.655526,0.000294424,0.00235226,2.275
-1.40269,0.561715,0.561715,0.000395697,0.0106873,2.28
-1.39334,0.522765,0.522765,0.00034034,0.0106542,2.285
-1.37987,0.470272,0.485655,0.000398913,0.0181599,2.29
-1.35424,-0.250981,0.380771,0.00039528,0.0181141,2.295
-1.35959,0.450275,0.452093,0.000308599,0.0116969,2.3
-1.35281,0.191256,0.429328,0.000375443,0.0191082,2.305
-1.32668,0.119239,0.267025,0.000342028,0.0163081,2.31
-1.32346,0.147901,0.335675,0.000294224,0.0113152,2.315
-1.30822,0.235485,0.258549,0.000259753,0.00893308,2.32
-1.31082,0.234078,0.310402,0.000381283,0.0160433,2.325
-1.30461,0.288312,0.302761,0.000315409,0.0128383,2.33
-1.28154,0.068393,0.188582,0.000303962,0.00997517,2.335
-1.28659,0.0167418,0.270975,0.000306937,0.0137059,2.34
-1.27228,0.113084,0.184187,0.000254319,0.00888371,2.345
-1.26322,0.0939741,0.176008,0.000254333,0.00794856,2.35
-1.25851,0.00548563,0.175395,0.000247558,0.00735031,2.355
-1.2539,0.103312,0.213809,0.000268315,0.00967725,2.36
-1.25149,0.176895,0.217314,0.000264037,0.00916316,2.365
-1.23498,0.00542112,0.136927,0.000240445,0.00539624,2.37
-1.23436,0.0230587,0.148046,0.000235727,0.00567183,2.375
-1.22859,-0.0879561,0.157619,0.000235977,0.00605066,2.38
-1.22492,-0.0102537,0.171775,0.000237037,0.00683929,2.385
-1.21686,0.0279659,0.161507,0.000236397,0.00623035,2.39
-1.20991,0.00128994,0.146283,0.000234162,0.00513138,2.395
-1.20972,0.0919848,0.147079,0.000222926,0.00460343,2.4
-1.19946,0.022321,0.136422,0.000221942,0.00582143,2.405
-1.19515,-0.0449797,0.144038,0.000212491,0.00585507,2.41
-1.18415,-0.00284541,0.0974893,0.000205061,0.00304228,2.415
-1.18319,0.0155173,0.110723,0.000198412,0.00426194,2.42
-1.17926,0.0186108,0.108053,0.00020618,0.00325302,2.425
-1.17085,0.00127266,0.130391,0.000193816,0.00357867,2.43
-1.17114,0.0270248,0.129947,0.000183623,0.00408895,2.435
-1.16356,0.0123356,0.117375,0.000198146,0.00376689,2.44
-1.15739,0.0326404,0.105333,0.000194454,0.00264721,2.445
-1.1514,0.0137528,0.0948286,0.000186297,0.00308215,2.45
-1.14653,-0.0211922,0.110081,0.000186528,0.00270205,2.455
-1.14009,0.0283339,0.094713,0.000176205,0.00270382,2.46
-1.13963,-0.00618794,0.0911051,0.000174852,0.0028346,2.465
-1.1359,0.0242391,0.0962696,0.000185529,0.00275612,2.47
-1.12855,-0.00127947,0.0777183,0.0001801,0.00203077,2.475
-1.12611,0.00542981,0.0872502,0.000163832,0.00234302,2.48
-1.12116,0.00497594,0.0807414,0.000194381,0.00234674,2.485
-1.1178,0.0366921,0.0935724,0.000180314,0.00238636,2.49
-1.11156,0.00217697,0.0799133,0.000165666,0.0018993,2.495
-1.10624,-0.0080405,0.0847062,0.000168319,0.00209514,2.5
